short.link,cat,subcat,youtube,youtube_ID,exclude,youtube_uploads_ID,youtube_channel_ID
forbritain.uk,ukalternative,,,UCwlQXl9jWV06Bb6d_GFaaEQ,,UUwlQXl9jWV06Bb6d_GFaaEQ,UCwlQXl9jWV06Bb6d_GFaaEQ
bestforbritain.org,ukalternative,,,,,,
peoplesmomentum.com,ukalternative,,,Auekcm6eLxfJM55fPQ,,,
ukunity.org.uk,ukalternative,,,,,,
englishdemocrats.party,ukalternative,,EnglishDemocrat,,fairly inactive,,
thelondoneconomic.com,ukalternative,,,,,,
realmedia.press,ukalternative,,,UChILjk2g64mZuwfkFPFeQRg,,,
buzzfeed.com,world_alternative,,,,,,
fort-russ.com,world_alternative,,,,,,
neonnettle.com,world_alternative,,,UC77Wown_mgM9hhOmj5sAzuA,inactive,,
gellerreport.com,world_alternative,,atlasshrugs2000,,inactive,,
jihadwatch.org,world_alternative,,JihadWatchVideo,,fairly inactive,,
breitbart.com,world_alternative,,,UCmgnsaQIK1IR808Ebde-ssA,,UUmgnsaQIK1IR808Ebde-ssA,UCmgnsaQIK1IR808Ebde-ssA
thebl.com,world_alternative,,,UC3HxxpOJ0WWIuZsb7FtSLWQ,,UU3HxxpOJ0WWIuZsb7FtSLWQ,UC3HxxpOJ0WWIuZsb7FtSLWQ
infowars.com,world_alternative,,,,,,
theepochtimes.com,world_alternative,,epochtimesdigital,,,UUeLc4heXqG9dtL7jiPHMBfQ,UCeLc4heXqG9dtL7jiPHMBfQ
zerohedge.com,world_alternative,,zerohedge,,inactive,,
voanews.com,world_alternative,,VOAvideo,,,UUVSNOxehfALut52NbkfRBaA,UCVSNOxehfALut52NbkfRBaA
tapnewswire.com,world_alternative,,,,,,
interfax.com,world_alternative,,,,only russian/ukrainian account,,
prisonplanet.com,world_alternative,,,,,,
en.newsner.com,world_alternative,,,,,,
ucrtv.com,world_alternative,,,,,,
thezeitgeistmovement.com,world_alternative,,,,,,
realnews24.com,world_alternative,,,,,,
banned.video,world_alternative,,,,,,
voiceofeurope.com,eu_alternative,,,UChto_0xZP41Ld2w5vIbhEiA,inactive,,
petersweden.com,eu_alternative,,,UCLJP8h2X8AzonANnF_ZkuAw,inactive,,
timesofsweden.com,eu_alternative,,,UC7pHdZTgoPQI3isDBftuUWA,,,
v4report.com,eu_alternative,,,,,,
indiagbnews.com,ukfl,,,,,,
asianlite.com,ukfl,,Asianliteglobal,UC_dHDAg-Uk0BtsnNhk1ZTHQ,preliminarily excluded during dev,,
panjabtimes.uk,ukfl,,,,,,
urdutimesuk.com,ukfl,,,,,,
thenation.org.uk,ukfl,,,,,,
asiansunday.co.uk,ukfl,,,,,,
britishsikhreport.org,ukfl,,,,,,
elondyn.co.uk/newsy,ukfl,,,,,,
cooltura24.co.uk,ukfl,,,,,,
prl24.co.uk,ukfl,,,,,,
polityka.pl,ukfl,,,,,,
londynek.net,ukfl,,,,,,
polishexpress.co.uk,ukfl,,,,,,
britishpoles.uk,ukfl,,,,,,
polemi.co.uk,ukfl,,,,,,
polskie-echo.com,ukfl,,,,,,
TheMindUnleashed.com,cvus,,,,,,
WND.com,cvus,,,,,,
AmericanThinker.com,cvus,,,,,,
RushLimbaugh.com,cvus,,,,,,
BigLeaguePolitics.com,cvus,,,,,,
HealthNutNews.com,cvus,,,,,,
DCClothesline.com,cvus,,,,,,
Mercola.com,cvus,,,,,,
Intellihub.com,cvus,,,,,,
BeforeItsNews.com,cvus,,,,,,
HumansAreFree.com,cvus,,,,,,
HealthImpactNews.com,cvus,,,,,,
JimHumble.co,cvus,,,,,,
NaturalHealth365.com,cvus,,,,,,
GreatGameIndia.com,cvus,,,,,,
GreenMedInfo.com,cvus,,,,,,
SOTT.net,cvus,,,,,,
RedStateWatcher.com,cvus,,,,,,
JimBakkerShow.com,cvus,,,,,,
NaturalNews.com,natnews,,,,,,
Banned.news,natnews,,,,,,
Biased.news,natnews,,,,,,
CaliforniaCollapse.news,natnews,,,,,,
CDC.news,natnews,,,,,,
Censorship.news,natnews,,,,,,
Conspiracy.news,natnews,,,,,,
Cures.news,natnews,,,,,,
Depopulation.news,natnews,,,,,,
Disinfo.news,natnews,,,,,,
Eugenics.news,natnews,,,,,,
Extinction.news,natnews,,,,,,
FactCheck.news,natnews,,,,,,
Faked.news,natnews,,,,,,
Freedom.news,natnews,,,,,,
Health.news,natnews,,,,,,
Herbs.news,natnews,,,,,,
Honest.news,natnews,,,,,,
Infections.news,natnews,,,,,,
Journalism.news,natnews,,,,,,
MediaFactWatch.com,natnews,,,,,,
MedicalExtremism.com,natnews,,,,,,
Medicine.news,natnews,,,,,,
NaturalCures.news,natnews,,,,,,
NaturalNewsRadio.com,natnews,,,,,,
Naturopathy.news,natnews,,,,,,
NewsFakes.com,natnews,,,,,,
NewsTarget.com,natnews,,,,,,
NYTWatch.com,natnews,,,,,,
OpenBorders.news,natnews,,,,,,
Outbreak.news,natnews,,,,,,
Pandemic.news,natnews,,,,,,
Panic.news,natnews,,,,,,
PlantMedicine.news,natnews,,,,,,
PopulationControl.news,natnews,,,,,,
Propaganda.news,natnews,,,,,,
RealInvestigations.news,natnews,,,,,,
Remedies.news,natnews,,,,,,
Risk.news,natnews,,,,,,
ScienceClowns.com,natnews,,,,,,
ScienceFraud.news,natnews,,,,,,
Science.news,natnews,,,,,,
Scientific.news,natnews,,,,,,
SHTF.news,natnews,,,,,,
Superbugs.news,natnews,,,,,,
TechGiants.news,natnews,,,,,,
Technocrats.news,natnews,,,,,,
Twisted.news,natnews,,,,,,
Tyranny.news,natnews,,,,,,
Uprising.news,natnews,,,,,,
VaccineDamage.news,natnews,,,,,,
VaccineInjuryNews.com,natnews,,,,,,
Vaccines.news,natnews,,,,,,
WaPoop.news,natnews,,,,,,
WashingtonPosted.news,natnews,,,,,,
vactruth.com,cvus,,,,,,
AubeDigitale.com,cvfr,,,,,,
EpochTimes.fr,cvfr,,,,,,
FL24.net,cvfr,,,,,,
LeMediaPourTous.fr,cvfr,,,,,,
LesMoutonsRebelles.com,cvfr,,,,,,
NoSignalFound.fr,cvfr,,,,,,
NouvelOrdremondial.cc,cvfr,,,,,,
ReseauInternational.net,cvfr,,,,,,
RiposteLaique.com,cvfr,,,,,,
Wikistrike.com,cvfr,,,,,,
Affaritaliani.it,cvit,,,,,,
CaffeinaMagazine.it,cvit,,,,,,
Corvelva.it,cvit,,,,,,
IlPopulista.it,cvit,,,,,,
IlPrimatoNazionale.it,cvit,,,,,,
Leggilo.org,cvit,,,,,,
MaurizioBlondet.it,cvit,,,,,,
MedNat.org,cvit,,,,,,
Renovatio21.com,cvit,,,,,,
ScenariEconomici.it,cvit,,,,,,
SegniDalCielo.it,cvit,,,,,,
StopCensura.info,cvit,,,,,,
Tgcom24.mediaset.it,cvit,,,,,,
VoxNews.info,cvit,,,,,,
AnonymousNews.ru,cvde,,,,,,
Compact-Online.de,cvde,,,,,,
Connectiv.events,cvde,,,,,,
Deutschland-Kurier.org,cvde,,,,,,
